1-	下图为“我国1970—2010年人口出生率和死亡率统计图”。回答1,2题。 
18-C	都位于省区交界处
18-D	三级地势阶梯上均有分布

6-19	图中序号代表的生态功能区所属的省级行政区是
19-A	①地位于青、藏之间
19-B	②地跨陕、甘、宁、晋地区
19-C	③地主体位于川、渝地区
19-D	④地跨粤、桂、黔之间

6-20	国家建设重点生态功能区的目的是
20-A	涵养水源，保持水土
20-B	防风固沙，保护农田
20-C	保护生物多样性，改善生态环境
20-D	吸烟除尘，净化空气

7-	2009年12月15日，港珠澳大桥正式动工，大桥贯通后，由香港开车到珠海或澳门，只需要15至20分钟。读下图，回答21、22题。

7-21	港珠澳大桥的建设
21-A	减弱赤潮、风暴潮等灾害对沿岸的影响
21-B	促进城市间的交通联系和地区经济的发展
21-C	有利于海岸生态环境向良性方向发展
21-D	加快珠海市向大屿山岛的人口迁移和城市扩展

7-22	改革开放初期，以深圳为代表的珠江三角洲地区城市化发展主要得益于
22-A	南海油气资源丰富，促进了国土开发
22-B	劳动密集型工业向知识密集型工业转变
22-C	京九铁路和京港澳高速公路建成通车
22-D	外资企业建立，带动地区工业化发展

8-	下图为“我国东北部地区1，7月等温线（单位：℃）分布示意图”。回答23~25题。

8-23	下列关于图中等温线与甲、乙、丙、丁四地气温的叙述，正确的是
23-A	受地形因素影响，1月－18℃等温线向北突出
23-B	受纬度因素影响，7月18℃等温线呈东北—西南方向延伸
23-C	甲地海拔高，1月气温低于丙地
23-D	丁地纬度高，7月气温低于丙地

8-24	关于图中甲、乙、丙、丁四地自然条件与农业发展的叙述，正确的是
24-A	甲地草原辽阔，利于发展乳畜业
24-B	乙地地势平坦，适宜大规模机械化生产
24-C	丙地河流稀少，利于商品谷物农业发展
24-D	丁地夏季低温，适宜发展多种经营

8-25	关于图示地区自然地理环境的叙述，正确的是
25-A	以温带季风气候为主，气温日、年较差小
25-B	嫩江及其支流汛期长，封冻期长
25-C	山地垂直地带性显著，基带为温带草原带
25-D	平原面积较大，山脉呈东北—西南走向
