1-	读某地区大气热力环流示意图，回答（1）—（2）题。    
29-B	城市中心商务区迁至郊区

29-C	沿线站点附近商业网点聚集

29-D	城市其他交通运输方式衰落



13-	水的社会循环是指在水的自然循环当中，人类不断利用其中的地下径流或地表径流满足生活与生产之需而产生的人为水循环。读下图，回答（30）—（32）题。 

13-30	水的社会循环

30-A	包含了水的自然循环

30-B	加速了水的自然循环

30-C	对陆地水体有更新作用

30-D	会对水的自然循环造成负面影响


13-31	图中来源于用户的潜在回用水源包括

31-A	降水、地下水、地表水

31-B	供水厂提供的自来水

31-C	可循环使用的清洁冷却水

31-D	经污水处理厂处理后的中水


13-32	污水再生回用

32-A	是解决城市水资源短缺问题的有效途径

32-B	只适用于城市

32-C	虽无经济效益，但有环境效益

32-D	属于节流措施

