-1	读表，与地球相比，火星 
18-D	④

6-	下图表示6月22日四地昼长时数和正午太阳高度。读图回答下列问题：  
6-19	图中标注有明显错误的一地是
19-A	①地
19-B	②地
19-C	③地
19-D	④地

6-20	下列叙述正确的是
20-A	①②两地距太阳直射点的纬度间隔相同
20-B	除标注错误的一地外，其余三地一年之中均有太阳直射的机会
20-C	除图所示以外，其余时间②地的正午太阳高度均小于①地
20-D	每年大约有9个月时间③地的昼长大于夜长

7-	读图“某地全年太阳视运动示意图”，回答下列问题。 
7-21	该地的地理纬度为
21-A	23.5°S
21-B	30°N
21-C	40°S
21-D	40°N

7-22	下列关于太阳方向的叙述，不正确的为
22-A	冬至日某地太阳升起的方位是东偏南，落下的方位是西偏南
22-B	夏至日赤道太阳从东南升起，正午于正北，从西南落下
22-C	春、秋分日各地太阳六时从正东方向升起，十八时从正西方向落下
22-D	一年四季中，北回归线以北各地正午太阳总在正南方向

8-	下图为我国①②两地某日日出日落（北京时间）示意图，读图回答下列问题。 
8-23	该日最有可能是
23-A	3月21日
23-B	6月22日
23-C	9月23日
23-D	12月22日

8-24	①地可能为
24-A	乌鲁木齐
24-B	成都
24-C	北京
24-D	上海

-25	下图为地球某日太阳光照示意图，图中阴影部分为黑夜，其他地区为白昼。图示时刻，太阳直射点的地理坐标是
25-A	23°26’N，105°E
25-B	23°26’N，135°E
25-C	23°26’S，90°E
25-D	23°26’S，90°W

9-	读图回答下列问题。 
9-26	北京时间2008年9月25日21时10分，“神舟7号”从酒泉卫星发射中心升空，图14中各线表示太阳高度日变化，其中与酒泉当日太阳高度日变化较吻合的是
26-A	①
26-B	②
26-C	③
26-D	④

9-27	此时，地球绕太阳公转的速度正处于
27-A	最快的阶段
27-B	最慢的阶段
27-C	由慢到快的阶段
27-D	由快到慢的阶段

10-	下图是经纬网图层和中国省级行政中心图层的叠加图，图中经纬线间隔度数相等。读图，回答下列问题。 
10-28	经纬网的纬线间距为
28-A	3°
28-B	5°
28-C	8°
28-D	10°

10-29	图上标出的经纬网格区中
29-A	②与③都处于暖温带
29-B	随地球自转，③的角速度比④小
29-C	从春分到夏至，①比④的昼长变化幅度大
29-D	从夏至到秋分，②比⑤的正午太阳高度角变化幅度大

10-30	人口密度差值最大的两个网格区是
30-A	①和④
30-B	②和③
30-C	③和⑤
30-D	④和⑤

10-31	从地形和降水条件分析，最易发生泥石流的网格区是
31-A	①
31-B	②
31-C	④
31-D	⑤

-32	在30°N附近的日光城拉萨安装太阳能热水器，为了充分利用太阳能，尽可能使一年内正午太阳光线与集热板保持垂直，集热板与地面夹角的调整幅度约为
32-A	23.5°
32-B	30°
32-C	47°
32-D	60°
